Stock,Accounts Payable,Accounts Payable YOY,Accounts Receivable,Accounts Receivable YOY,Accrued Liabilities,Accrued Liabilities YOY,Asset Turnover,Asset Turnover (Average),Asset Turnover (Average) YOY,Asset Turnover YOY,Book Value Per Share * HKD,Book Value Per Share * HKD YOY,Book Value Per Share * USD,Book Value Per Share * USD YOY,COGS,COGS YOY,Cap Ex as a % of Sales,Cap Ex as a % of Sales YOY,Cap Spending HKD Mil,Cap Spending HKD Mil YOY,Cap Spending USD Mil,Cap Spending USD Mil YOY,Cash & Short-Term Investments,Cash & Short-Term Investments YOY,Cash Conversion Cycle,Cash Conversion Cycle YOY,Current Ratio,Current Ratio YOY,Days Inventory,Days Inventory YOY,Days Sales Outstanding,Days Sales Outstanding YOY,Debt/Equity,Debt/Equity YOY,Dividends HKD,Dividends HKD YOY,Dividends USD,Dividends USD YOY,EBT Margin,EBT Margin YOY,Earnings Per Share HKD,Earnings Per Share HKD YOY,Earnings Per Share USD,Earnings Per Share USD YOY,Financial Leverage,Financial Leverage (Average),Financial Leverage (Average) YOY,Financial Leverage YOY,Fixed Assets Turnover,Fixed Assets Turnover YOY,Free Cash Flow Growth % YOY,Free Cash Flow Growth % YOY YOY,Free Cash Flow HKD Mil,Free Cash Flow HKD Mil YOY,Free Cash Flow Per Share * HKD,Free Cash Flow Per Share * HKD YOY,Free Cash Flow Per Share * USD,Free Cash Flow Per Share * USD YOY,Free Cash Flow USD Mil,Free Cash Flow USD Mil YOY,Free Cash Flow/Net Income,Free Cash Flow/Net Income YOY,Free Cash Flow/Sales %,Free Cash Flow/Sales % YOY,Gross Margin,Gross Margin %,Gross Margin % YOY,Gross Margin YOY,Intangibles,Intangibles YOY,Interest Coverage,Interest Coverage YOY,Inventory,Inventory Turnover,Inventory Turnover YOY,Inventory YOY,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price,Net Income HKD Mil,Net Income HKD Mil YOY,Net Income USD Mil,Net Income USD Mil YOY,Net Int Inc & Other,Net Int Inc & Other YOY,Net Margin %,Net Margin % YOY,Net PP&E,Net PP&E YOY,Operating Cash Flow Growth % YOY,Operating Cash Flow Growth % YOY YOY,Operating Cash Flow HKD Mil,Operating Cash Flow HKD Mil YOY,Operating Cash Flow USD Mil,Operating Cash Flow USD Mil YOY,Operating Income HKD Mil,Operating Income HKD Mil YOY,Operating Income USD Mil,Operating Income USD Mil YOY,Operating Margin,Operating Margin %,Operating Margin % YOY,Operating Margin YOY,Other,Other Current Assets,Other Current Assets YOY,Other Long-Term Assets,Other Long-Term Assets YOY,Other Long-Term Liabilities,Other Long-Term Liabilities YOY,Other Short-Term Liabilities,Other Short-Term Liabilities YOY,Other YOY,Payables Period,Payables Period YOY,Payout Ratio % *,Payout Ratio % * YOY,Quick Ratio,Quick Ratio YOY,R&D,R&D YOY,Receivables Turnover,Receivables Turnover YOY,Return on Assets %,Return on Assets % YOY,Return on Equity %,Return on Equity % YOY,Return on Invested Capital %,Return on Invested Capital % YOY,Revenue,Revenue HKD Mil,Revenue HKD Mil YOY,Revenue USD Mil,Revenue USD Mil YOY,Revenue YOY,SG&A,SG&A YOY,Shares Mil,Shares Mil YOY,Short-Term Debt,Short-Term Debt YOY,Tax Rate %,Tax Rate % YOY,Total Assets,Total Assets YOY,Total Current Assets,Total Current Assets YOY,Total Current Liabilities,Total Current Liabilities YOY,Total Liabilities,Total Liabilities & Equity,Total Liabilities & Equity YOY,Total Liabilities YOY,Total Stockholders' Equity,Total Stockholders' Equity YOY,Working Capital HKD Mil,Working Capital HKD Mil YOY,Working Capital USD Mil,Working Capital USD Mil YOY,index,index YOY
A,4.39,1.08663366337,9.08,1.07966706302,7.31,1.06871345029,0.65,0.65,1.015625,1.015625,,,16.83,1.17037552156,51.19,1.00313541054,5.06,1.00998003992,,,-205.0,1.05128205128,27.96,1.11705952857,115.51,0.997926565875,3.23,1.038585209,115.17,0.985116756479,49.2,1.00346726494,0.52,1.01960784314,,,0.53,1.15217391304,5.66,0.752659574468,,,1.62,0.771428571429,2.04,2.04,1.0099009901,1.0099009901,6.24,1.05762711864,-47.13,6.32617449664,,,,,2.16,0.72972972973,506.0,0.528735632184,0.92,0.707692307692,12.5,0.508543531326,48.81,48.8,0.995918367347,0.996732693486,32.92,0.851085832472,6.72,0.744186046512,9.9,3.17,1.01602564103,0.991983967936,0.939855232557,1.06469384447,37.8317186957,,,549.0,0.74795640327,-4.69,1.96234309623,7.22,0.676029962547,10.17,0.958529688973,-38.28,6.18416801292,,,711.0,617.1875,,,419.0,1.08549222798,10.35,10.4,1.05050505051,1.04439959637,,3.85,1.19937694704,6.13,1.50245098039,9.87,0.960116731518,4.02,0.978102189781,,48.85,0.973301454473,25.2,1.53658536585,2.36,1.05829596413,8.84,1.02196531792,7.42,0.997311827957,4.68,0.686217008798,9.52,0.688358640636,7.29,0.700288184438,100.0,,,4.048,1.0395480226,1.0,29.62,0.974021703387,338.0,0.979710144928,,,21.98,1.39821882952,100.0,1.0,50.78,1.08899849882,15.71,1.04803202135,51.08,100.0,1.0,1.010884623,48.92,0.988882150798,,,3.798,1.12333629104,,
AAI,4.68,2.22857142857,4.51,0.806797853309,,,0.39,0.39,0.951219512195,0.951219512195,,,,,31.34,1.1074204947,22.58,0.848553175498,,,,,6.91,1.30131826742,72.8,0.68094659059,1.86,0.902912621359,129.34,1.02309761114,46.86,0.959066721244,0.23,1.4375,,,0.24509544,0.296172348881,5.49,0.193924408336,,,0.23990274,0.139605157131,1.55,1.55,1.07638888889,1.07638888889,0.59,0.936507936508,,,,,,,,,11.313664361,1.86395393934,4.11,13.2580645161,11.69,1.75,68.66,68.7,0.958158995816,0.95760111576,0.69,0.610619469027,7.86,0.21986013986,4.43,2.82,0.975778546713,1.04481132075,4.33333333333,3.0,0.03,,,2.752200236,,-17.95,9.30051813472,2.84,0.130875576037,65.56,0.985272016832,961.0,,,,,,,,,,23.44,23.4,0.774834437086,0.775388686735,48.1,6.96,1.12987012987,10.95,0.99274705349,8.44,0.903640256959,3.34,0.730853391685,1.29509962305,103.4,1.51213805206,,,1.06,0.898305084746,0.35,1.09375,7.79,1.04283801874,1.11,0.124300111982,1.66,0.129082426128,1.2,0.109990834097,100.0,,,,,1.0,1.12,0.229979466119,11.5,1.00436681223,3.06,1.23886639676,48.77,2.2620593692,100.0,1.0,22.8,1.06992022525,12.23,1.1805019305,35.32,100.0,1.0,1.15274151436,64.68,0.932525951557,,,,,,
AAME,,,3.38,1.15358361775,,,0.52,0.52,1.0,1.0,,,4.96,1.08061002179,,,2.48,3.06172839506,,,-4.0,4.0,5.17,0.499034749035,,,,,,,,,0.32,0.780487804878,,,0.02,1.0,2.95,0.435103244838,,,0.19,0.395833333333,3.04,3.04,0.958990536278,0.958990536278,,,,,,,,,-0.05,-0.0961538461538,0.0,0.0,0.07,0.0660377358491,0.2,0.028328611898,,,,,0.8,1.0,,,,,,,1.23838999994,0.980382027323,3.84884795455,,,4.0,0.363636363636,,,2.38,0.373626373626,,,,,,,4.0,0.307692307692,,,5.0,0.454545454545,2.95,2.9,0.426470588235,0.435103244838,72.45,,,,,,,,,1.05458515284,,,10.5,2.38636363636,,,,,,,1.25,0.378787878788,3.87,0.379040156709,,,100.0,,,166.0,1.00606060606,1.0,24.6,1.00326264274,21.0,0.913043478261,,,9.67,5.89634146341,100.0,1.0,,,,,67.13,100.0,1.0,0.981432748538,32.87,1.04018987342,,,,,,
AAN,,,4.37,1.16223404255,1.11,0.716129032258,1.27,1.27,1.0325203252,1.0325203252,,,16.57,0.974705882353,13.16,0.812345679012,1.76,0.676923076923,,,-48.0,0.827586206897,1.01,0.0537234042553,,,1.94,0.825531914894,1007.08,1.08902946742,11.79,1.01028277635,0.5,3.84615384615,,,0.08,1.14285714286,4.52,0.545893719807,,,1.08,0.683544303797,2.01,2.01,1.25625,1.25625,12.38,1.27892561983,,,,,,,0.01,0.0049504950495,-97.0,-0.388,-1.23,-0.594202898551,-3.58,-0.319642857143,86.84,86.8,1.03579952267,1.03627684964,33.71,2.53840361446,7.33,0.215905743741,44.25,0.36,0.923076923077,0.929621848739,0.803533231512,0.99318414536,28.4354395,,,78.0,0.644628099174,-0.67,7.44444444444,2.87,0.531481481481,8.5,0.67140600316,,,,,-49.0,-0.159090909091,,,140.0,0.748663101604,5.19,5.2,0.619047619048,0.620071684588,34.86,,,8.16,2.09230769231,,,24.42,0.864424778761,1.18370118846,,,7.8,2.0,0.21,0.276315789474,,,30.96,0.989453499521,3.65,0.550527903469,6.62,0.624528301887,5.7,0.596234309623,100.0,,,2.695,1.20581655481,1.0,46.8,1.01761252446,73.0,0.960526315789,,,35.72,1.02761795167,100.0,1.0,49.63,0.707383124287,25.53,0.856711409396,50.2,100.0,1.0,1.33475139591,49.8,0.798204840519,,,592.0,0.803256445047,,
AAON,4.88,1.35180055402,20.03,1.07457081545,9.07,1.02485875706,1.59,1.59,1.0127388535,1.0127388535,,,3.31,1.12585034014,69.62,0.96640755136,4.53,1.60638297872,,,-16.0,1.77777777778,17.17,1.02080856124,79.82,0.976033259966,3.07,0.980830670927,51.32,1.00469851214,42.59,0.903670698069,,,,,0.18,1.63636363636,19.15,1.09241300627,,,0.8,1.17647058824,1.34,1.34,1.02290076336,1.02290076336,3.98,1.10249307479,-18.85,-0.9267453294,,,,,0.68,0.860759493671,36.0,0.8,0.82,0.689075630252,10.15,0.731795241528,30.38,30.4,1.08571428571,1.08655221745,,,,,16.14,7.11,0.994405594406,1.081769437,1.10443900962,1.05866516529,21.2114533636,,,44.0,1.15789473684,0.07,0.466666666667,12.39,1.05988023952,39.43,0.97333991607,-2.45,-0.516877637131,,,52.0,0.962962962963,,,68.0,1.21428571429,19.09,19.1,1.09770114943,1.09838895282,-0.09,2.9,1.22881355932,4.34,0.642962962963,7.01,1.00573888092,4.37,0.993181818182,9.0,14.09,0.857577601948,20.6,1.41095890411,2.03,0.966666666667,,,8.57,1.10723514212,19.69,1.07244008715,26.12,1.05110663984,26.12,1.05110663984,100.0,,,356.0,1.10903426791,1.0,11.38,1.07561436673,55.0,0.982142857143,,,35.3,1.06006006006,100.0,1.0,56.23,1.06617368221,18.32,1.08659549229,25.33,100.0,1.0,1.06294586655,74.67,0.980307207562,,,88.0,1.14285714286,,
AAP,38.87,0.991834651697,7.28,1.45891783567,5.44,0.873194221509,1.46,1.46,1.140625,1.140625,,,26.38,1.30918114144,54.76,1.09695512821,2.32,0.770764119601,,,-228.0,1.16326530612,1.31,0.0655327663832,50.32,1.06137945581,1.27,0.881944444444,219.85,0.80266520628,9.09,0.861611374408,0.81,1.17391304348,,,0.24,1.0,7.94,0.822797927461,,,6.71,1.26127819549,3.98,3.98,1.08446866485,1.08446866485,7.25,1.43849206349,,,,,,,6.51,1.32586558045,481.0,1.3782234957,0.97,1.08988764045,4.88,0.907063197026,45.24,45.2,0.902195608782,0.903354632588,21.9,4.87750556793,11.64,0.642738818332,49.44,1.66,1.24812030075,1.07618633,0.969767881889,1.45938917214,156.8950605,,,494.0,1.26020408163,-0.71,1.36538461538,5.02,0.832504145937,17.98,0.779367143476,,,,,709.0,1.30091743119,,,852.0,1.29090909091,8.65,8.7,0.852941176471,0.850540806293,,1.5,1.94805194805,0.57,0.76,7.29,1.75662650602,1.59,0.571942446043,,178.63,0.753585892676,3.9,0.906976744186,0.18,0.36,,,40.14,1.16078658184,7.3,0.948051948052,28.07,0.977027497389,17.4,0.920148069804,100.0,,,9.844,1.51586079458,1.0,36.59,0.916812828865,73.0,1.0,0.01,0.5,36.8,0.98238120662,100.0,1.0,59.54,0.830520295718,47.01,0.946256038647,74.85,100.0,1.0,1.02886597938,25.15,0.922935779817,,,998.0,814.693877551,,
AAPL,13.02,1.20444033302,11.74,1.17753259779,3.32,1.31746031746,0.83,0.83,0.932584269663,0.932584269663,,,20.62,1.05204081633,61.41,0.984450144277,5.37,1.01129943503,,,-9.813,1.0812031732,10.82,0.552322613578,-48.64,1.09303370787,1.08,0.642857142857,6.3,1.44164759725,30.51,1.1890101325,0.26,1.85714285714,,,1.81,1.11042944785,29.26,0.996933560477,,,6.45,1.13556338028,2.08,2.08,1.2380952381,1.2380952381,9.82,0.920337394564,11.91,1.57331571995,,,,,7.73,1.19659442724,49.9,1.11908499664,1.26,1.05,27.3,1.04637792258,38.59,38.6,1.02659574468,1.02578415736,3.78,1.35971223022,140.28,0.379350442143,0.91,57.94,0.694307968844,1.07058823529,1.14099937409,1.49885504908,95.8790777619,,,39.51,1.06677106677,0.54,0.794117647059,21.61,0.997231195201,8.9,1.10972568579,11.27,2.03797468354,,,59.713,1.11267841837,,,52.503,1.0715116635,28.72,28.7,1.0,1.00174398326,,6.09,1.22044088176,57.77,1.07379182156,12.02,1.08975521306,7.78,1.08205841446,,85.45,1.14636436812,28.5,1.0401459854,0.82,0.585714285714,3.3,1.25954198473,11.96,0.841068917018,18.01,0.931230610134,33.61,1.09693211488,26.2,1.00460122699,100.0,,,182.795,1.06953952373,1.0,6.56,1.03470031546,6.123,0.938822447102,2.72,,26.13,0.999235181644,100.0,1.0,29.56,0.835028248588,27.37,1.29777145567,51.89,100.0,1.0,1.28727362937,48.11,0.805997654549,,,5.083,0.171560685838,,
AAWW,1.05,0.596590909091,3.95,1.11267605634,5.87,1.29867256637,0.46,0.46,0.958333333333,0.958333333333,,,55.31,1.08090678132,53.7,0.991872922054,30.25,0.831272327563,,,-544.0,0.902155887231,7.71,0.861452513966,,,1.25,0.880281690141,,,29.85,1.0429769392,1.26,1.08620689655,,,,,4.98,0.700421940928,,,4.25,1.16120218579,2.89,2.89,1.02482269504,1.02482269504,0.6,0.909090909091,,,,,,,-10.65,0.521547502449,-271.0,0.909395973154,-2.54,0.798742138365,-15.07,0.838153503893,46.3,46.3,1.00871459695,1.00959441779,1.64,1.8021978022,1.86,0.759183673469,,,,,0.864597404072,1.22390152118,47.1254540909,,,107.0,1.13829787234,-4.8,1.15384615385,5.93,1.04770318021,77.34,1.0165615142,,,,,273.0,0.895081967213,,,176.0,0.941176470588,9.78,9.8,0.867256637168,0.867790594499,14.82,3.11,0.896253602305,6.24,0.887624466572,10.15,0.849372384937,0.26,0.366197183099,1.15510522214,15.46,1.17566539924,,,0.98,0.882882882883,,,12.22,0.958431372549,2.73,1.0,7.81,1.08321775312,5.62,1.10196078431,100.0,,,1.799,1.08569704285,1.0,21.7,0.997242647059,25.0,0.961538461538,4.64,1.09433962264,,,100.0,1.0,14.78,0.925485284909,11.82,1.05347593583,65.43,100.0,1.0,1.01347583643,34.57,0.975451467269,,,121.0,0.683615819209,,
AB,,,,,,,,,,,,,15.26,1.03038487508,,,,,,,,,,,,,,,,,,,,,,,1.89,1.18867924528,,,,,1.86,1.08771929825,1.0,1.0,1.0,1.0,,,,,,,,,1.76,1.08641975309,181.0,1.16774193548,1.0,1.06382978723,,,,,,,,,,,,,,,1.00425349538,1.25166380753,21.7527513182,,,181.0,1.09036144578,,,,,,,,,,,181.0,1.16774193548,,,,,,,,,,,,,,,,,,,,,97.9,0.859525899912,,,,,,,11.44,1.07116104869,11.44,1.0691588785,,,,,,,,,,,98.0,1.01030927835,,,11.05,1.00637522769,100.0,1.0,,,,,100.0,100.0,1.0,1.0,,,,,,,,
ABAX,2.82,0.699751861042,13.29,0.67019667171,3.39,0.751662971175,0.82,0.82,0.845360824742,0.845360824742,,,8.37,1.11748998665,48.19,1.09076505206,3.43,1.09935897436,,,-6.0,1.0,47.33,1.22015983501,154.71,1.1380756216,9.81,1.28403141361,110.54,1.14644264675,73.43,1.05396870963,,,,,,,15.57,0.583364556013,,,0.63,0.512195121951,1.11,1.11,0.965217391304,0.965217391304,6.55,0.873333333333,27.43,0.424481584649,,,,,1.09,0.981981981982,30.0,1.25,2.12,2.46511627907,18.53,1.42319508449,51.81,51.8,0.928315412186,0.928161949122,0.75,0.483870967742,,,12.43,3.3,0.870712401055,0.935993975904,1.65852664001,0.843996625999,37.6574183333,,,14.0,0.518518518519,0.61,4.35714285714,8.25,0.558943089431,12.52,0.997609561753,21.83,0.663929440389,,,36.0,1.24137931034,,,24.0,0.5,14.95,15.0,0.566037735849,0.563088512241,,3.19,0.813775510204,10.49,1.0396432111,2.59,1.07468879668,1.04,0.888888888889,,29.27,0.970812603648,,,7.8,1.31979695431,8.42,1.12117177097,4.97,0.948473282443,6.77,0.472765363128,7.67,0.469113149847,7.64,0.469575906577,100.0,,,162.0,0.895027624309,1.0,28.44,0.90833599489,23.0,1.04545454545,,,35.36,1.0039750142,100.0,1.0,76.23,1.0055401662,7.77,0.783266129032,10.63,100.0,1.0,0.838989739542,89.37,1.02335967022,,,149.0,1.12030075188,,
