Stock,Accounts Payable,Accounts Payable YOY,Accounts Receivable,Accounts Receivable YOY,Accrued Liabilities,Accrued Liabilities YOY,Asset Turnover,Asset Turnover (Average),Asset Turnover (Average) YOY,Asset Turnover YOY,Book Value Per Share * USD,Book Value Per Share * USD YOY,COGS,COGS YOY,Cap Ex as a % of Sales,Cap Ex as a % of Sales YOY,Cap Spending USD Mil,Cap Spending USD Mil YOY,Cash & Short-Term Investments,Cash & Short-Term Investments YOY,Cash Conversion Cycle,Cash Conversion Cycle YOY,Current Ratio,Current Ratio YOY,Days Inventory,Days Inventory YOY,Days Sales Outstanding,Days Sales Outstanding YOY,Debt/Equity,Debt/Equity YOY,Dividends USD,Dividends USD YOY,EBT Margin,EBT Margin YOY,Earnings Per Share USD,Earnings Per Share USD YOY,Financial Leverage,Financial Leverage (Average),Financial Leverage (Average) YOY,Financial Leverage YOY,Fixed Assets Turnover,Fixed Assets Turnover YOY,Free Cash Flow Growth % YOY,Free Cash Flow Growth % YOY YOY,Free Cash Flow Per Share * USD,Free Cash Flow Per Share * USD YOY,Free Cash Flow USD Mil,Free Cash Flow USD Mil YOY,Free Cash Flow/Net Income,Free Cash Flow/Net Income YOY,Free Cash Flow/Sales %,Free Cash Flow/Sales % YOY,Gross Margin,Gross Margin %,Gross Margin % YOY,Gross Margin YOY,Intangibles,Intangibles YOY,Interest Coverage,Interest Coverage YOY,Inventory,Inventory Turnover,Inventory Turnover YOY,Inventory YOY,Key Ratios -> Efficiency Ratios,Key Ratios -> Efficiency Ratios YOY,Key Ratios -> Financial Health,Key Ratios -> Financial Health YOY,Liquidity/Financial Health,Liquidity/Financial Health YOY,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price,Net Income USD Mil,Net Income USD Mil YOY,Net Int Inc & Other,Net Int Inc & Other YOY,Net Margin %,Net Margin % YOY,Net PP&E,Net PP&E YOY,Operating Cash Flow Growth % YOY,Operating Cash Flow Growth % YOY YOY,Operating Cash Flow USD Mil,Operating Cash Flow USD Mil YOY,Operating Income USD Mil,Operating Income USD Mil YOY,Operating Margin,Operating Margin %,Operating Margin % YOY,Operating Margin YOY,Other,Other Current Assets,Other Current Assets YOY,Other Long-Term Assets,Other Long-Term Assets YOY,Other Long-Term Liabilities,Other Long-Term Liabilities YOY,Other Short-Term Liabilities,Other Short-Term Liabilities YOY,Other YOY,Payables Period,Payables Period YOY,Payout Ratio % *,Payout Ratio % * YOY,Quick Ratio,Quick Ratio YOY,R&D,R&D YOY,Receivables Turnover,Receivables Turnover YOY,Return on Assets %,Return on Assets % YOY,Return on Equity %,Return on Equity % YOY,Return on Invested Capital %,Return on Invested Capital % YOY,Revenue,Revenue USD Mil,Revenue USD Mil YOY,Revenue YOY,SG&A,SG&A YOY,Shares Mil,Shares Mil YOY,Short-Term Debt,Short-Term Debt YOY,Tax Rate %,Tax Rate % YOY,Total Assets,Total Assets YOY,Total Current Assets,Total Current Assets YOY,Total Current Liabilities,Total Current Liabilities YOY,Total Liabilities,Total Liabilities & Equity,Total Liabilities & Equity YOY,Total Liabilities YOY,Total Stockholders' Equity,Total Stockholders' Equity YOY,Working Capital USD Mil,Working Capital USD Mil YOY,index,index YOY
A,3.73,0.849658314351,8.1,0.892070484581,5.87,0.803009575923,0.44,0.44,0.676923076923,0.676923076923,12.36,0.73440285205,49.46,0.966204336785,2.43,0.48023715415,-98.0,0.478048780488,26.78,0.957796852647,150.32,1.30135918968,3.78,1.17027863777,147.41,1.27993401059,71.82,1.45975609756,0.4,0.769230769231,0.4,0.754716981132,11.89,2.10070671378,1.2,0.740740740741,1.79,1.79,0.877450980392,0.877450980392,4.74,0.759615384615,-22.33,0.473795883726,0.9,0.416666666667,393.0,0.776679841897,0.98,1.0652173913,9.73,0.7784,50.54,50.5,1.03483606557,1.03544355665,37.59,1.14185905225,8.27,1.2306547619,7.23,2.48,0.782334384858,0.730303030303,,,,,,,1.27665917018,0.939855232557,35.5563387727,401.0,0.730418943534,-1.04,0.221748400853,9.93,1.37534626039,8.08,0.794493608653,-30.94,0.808254963427,491.0,0.690576652602,522.0,1.24582338902,12.93,12.9,1.24038461538,1.24927536232,,7.17,1.86233766234,5.05,0.823817292007,9.11,0.922998986829,3.45,0.858208955224,,68.91,1.41064483112,25.3,1.00396825397,2.67,1.1313559322,8.17,0.924208144796,5.08,0.684636118598,4.38,0.935897435897,8.47,0.889705882353,6.55,0.898491083676,100.0,4.038,0.997529644269,1.0,29.45,0.994260634706,335.0,0.991124260355,,,8.75,0.398089171975,100.0,1.0,49.28,0.970460811343,13.05,0.830681094844,44.28,100.0,1.0,0.866875489428,55.72,1.13900245298,2.71,0.713533438652,,
AAI,6.57,1.40384615385,4.26,0.944567627494,,,0.38,0.38,0.974358974359,0.974358974359,,,34.17,1.09029993618,27.02,1.19663418955,,,8.04,1.16353111433,48.5,0.666208791209,1.88,1.01075268817,129.81,1.00363383331,42.37,0.904182671788,0.26,1.13043478261,0.2019153,0.746495397589,15.23,2.77413479053,1.0280142,3.88290748096,1.61,1.61,1.03870967742,1.03870967742,0.58,0.983050847458,,,,,5.84464597,0.468110148149,0.5,0.121654501217,6.42,0.549187339607,65.83,65.8,0.957787481805,0.958782406059,0.63,0.913043478261,14.84,1.88804071247,4.72,2.81,0.996453900709,1.06546275395,,,,,,,3.84615384615,4.33333333333,0.13,11.79796944,3.88436807737,-4.99,0.277994428969,12.96,4.56338028169,64.53,0.984289200732,601.0,0.625390218522,,,,,20.22,20.2,0.863247863248,0.862627986348,44.54,6.4,0.919540229885,11.42,1.04292237443,-26.4,-3.12796208531,5.68,1.7005988024,0.925987525988,123.68,1.19613152805,,,1.12,1.05660377358,0.5,1.42857142857,8.61,1.10526315789,4.88,4.3963963964,7.71,4.64457831325,5.63,4.69166666667,100.0,,,1.0,0.98,0.875,11.5,1.0,6.1,1.99346405229,12.97,0.265942177568,100.0,1.0,23.42,1.02719298246,20.06,1.64022894522,,100.0,1.0,,100.0,1.54607297464,,,,
AAME,,,3.81,1.12721893491,,,0.53,0.53,1.01923076923,1.01923076923,5.05,1.01814516129,,,0.19,0.0766129032258,-0.0,0.0,4.97,0.961315280464,,,,,,,,,0.33,1.03125,0.02,1.0,3.44,1.16610169492,0.19,1.0,3.07,3.07,1.00986842105,1.00986842105,,,,,0.21,-4.2,2.0,inf,0.43,6.14285714286,1.14,5.7,,,,,0.81,1.0125,,,,,,,,,,,,,0.816833228994,1.23838999994,4.76637481818,4.0,1.0,,,2.4,1.00840336134,,,,,2.0,0.5,6.0,1.2,3.44,3.4,1.1724137931,1.16610169492,70.51,,,,,,,,,0.973222912353,,,8.0,0.761904761905,,,,,,,1.26,1.008,3.86,0.997416020672,,,100.0,166.0,1.0,1.0,26.06,1.0593495935,21.0,1.0,,,23.13,2.39193381593,100.0,1.0,,,,,67.42,100.0,1.0,1.00431997617,32.58,0.991177365379,,,,
AAN,,,7.49,1.71395881007,0.18,0.162162162162,1.24,1.24,0.976377952756,0.976377952756,18.5,1.11647555824,11.72,0.890577507599,1.9,1.07954545455,-61.0,1.27083333333,1.4,1.38613861386,,,2.02,1.0412371134,1089.65,1.08198951424,12.67,1.07463952502,0.45,0.9,0.09,1.125,6.7,1.48230088496,1.86,1.72222222222,1.95,1.95,0.970149253731,0.970149253731,14.63,1.1817447496,,,1.72,172.0,106.0,-1.09278350515,0.78,-0.634146341463,3.34,-0.932960893855,88.28,88.3,1.01728110599,1.01658222018,30.67,0.909819044794,10.13,1.38199181446,42.84,0.34,0.944444444444,0.96813559322,,,,,,,1.4070909602,0.803533231512,22.8488205909,136.0,1.74358974359,-0.72,1.07462686567,4.27,1.48780487805,8.49,0.998823529412,,,167.0,-3.40816326531,236.0,1.68571428571,7.42,7.4,1.42307692308,1.42967244701,38.18,,,9.11,1.11642156863,,,25.46,1.04258804259,1.09523809524,,,4.9,0.628205128205,0.35,1.66666666667,,,28.8,0.93023255814,5.31,1.45479452055,10.48,1.583081571,7.84,1.37543859649,100.0,3.18,1.17996289425,1.0,42.68,0.911965811966,73.0,1.0,,,36.32,1.01679731243,100.0,1.0,51.73,1.04231311707,25.64,1.00430865648,48.6,100.0,1.0,0.96812749004,51.4,1.03212851406,694.0,1.1722972973,,
AAON,2.65,0.543032786885,23.51,1.17373939091,11.44,1.26130099228,1.54,1.54,0.968553459119,0.968553459119,3.74,1.12990936556,69.7,1.00114909509,5.85,1.29139072848,-21.0,1.3125,8.74,0.509027373326,90.66,1.13580556252,2.86,0.931596091205,55.58,1.08300857366,47.89,1.12444235736,,,0.22,1.22222222222,19.89,1.03864229765,0.84,1.05,1.3,1.3,0.970149253731,0.970149253731,3.72,0.934673366834,-11.64,0.6175066313,0.62,0.911764705882,32.0,0.888888888889,0.7,0.853658536585,8.91,0.877832512315,30.3,30.3,0.996710526316,0.997366688611,,,,,16.53,6.57,0.924050632911,1.02416356877,,,,,,,1.41295876509,1.10011439703,23.3350252273,46.0,1.04545454545,0.01,0.142857142857,12.75,1.02905569007,43.4,1.1006847578,1.21,-0.49387755102,53.0,1.01923076923,71.0,1.04411764706,19.88,19.9,1.04188481675,1.041382923,-0.02,4.56,1.5724137931,3.26,0.751152073733,4.52,0.644793152639,4.55,1.04118993135,0.222222222222,12.81,0.909155429383,25.3,1.22815533981,1.73,0.852216748768,,,7.62,0.889148191365,19.63,0.996952767902,25.91,0.991960183767,25.91,0.991960183767,100.0,359.0,1.00842696629,1.0,10.44,0.917398945518,54.0,0.981818181818,,,35.9,1.01699716714,100.0,1.0,53.34,0.94860394807,18.64,1.01746724891,23.16,100.0,1.0,0.914330833004,76.84,1.02906120262,80.0,0.909090909091,,
AAP,39.39,1.01337792642,7.35,1.00961538462,5.62,1.03308823529,1.21,1.21,0.828767123288,0.828767123288,32.94,1.2486732373,54.58,0.996712929145,2.41,1.03879310345,-235.0,1.03070175439,1.12,0.854961832061,75.34,1.49721780604,1.3,1.02362204724,278.57,1.26709119854,13.1,1.44114411441,0.49,0.604938271605,0.24,1.0,7.73,0.97355163728,6.4,0.953800298063,3.31,3.31,0.831658291457,0.831658291457,6.79,0.936551724138,-534.0,,6.26,0.961597542243,455.0,0.945945945946,0.96,0.989690721649,4.67,0.956967213115,45.42,45.4,1.00442477876,1.00397877984,20.61,0.941095890411,12.51,1.07474226804,51.32,1.31,0.789156626506,1.03802588997,,,,,,,1.13292306043,0.969767881889,152.1517905,473.0,0.957489878543,-0.75,1.05633802817,4.84,0.964143426295,17.64,0.981090100111,-273.0,,690.0,0.973201692525,826.0,0.969483568075,8.48,8.5,0.977011494253,0.980346820809,,0.95,0.633333333333,1.02,1.78947368421,8.15,1.11796982167,0.49,0.308176100629,,216.33,1.21105077535,3.5,0.897435897436,0.18,1.0,,,27.87,0.694319880419,5.86,0.802739726027,21.14,0.753117206983,14.02,0.805747126437,100.0,9.737,0.989130434783,1.0,36.94,1.00956545504,74.0,1.01369863014,0.01,1.0,37.12,1.00869565217,100.0,1.0,60.74,1.02015451797,46.68,0.992980216975,69.75,100.0,1.0,0.931863727455,30.25,1.2027833002,1.143,0.00114529058116,,
AAPL,12.22,0.938556067588,10.45,0.890119250426,8.67,2.61144578313,0.89,0.89,1.07228915663,1.07228915663,22.53,1.092628516,59.94,0.976062530532,4.92,0.916201117318,-11.488,1.17069193926,14.32,1.32347504621,-52.97,1.08902138158,1.11,1.02777777778,5.81,0.922222222222,26.79,0.878072763029,0.45,1.73076923077,1.98,1.09392265193,31.03,1.06049213944,9.22,1.42945736434,2.43,2.43,1.16826923077,1.16826923077,10.85,1.10488798371,39.84,3.34508816121,11.82,1.52910737387,69.778,1.39835671343,1.31,1.03968253968,29.86,1.09377289377,40.06,40.1,1.03886010363,1.03809277015,3.1,0.820105820106,99.93,0.712360992301,0.81,62.82,1.08422506041,0.89010989011,,,,,,,1.00380999591,1.14099937409,109.397967714,53.394,1.35140470767,0.55,1.01851851852,22.85,1.0573808422,7.74,0.869662921348,36.09,3.20230700976,81.266,1.3609431782,71.23,1.35668437994,30.48,30.5,1.06271777003,1.06128133705,,5.19,0.852216748768,58.39,1.01073221395,12.76,1.0615640599,3.08,0.39588688946,,85.57,1.00140433002,22.3,0.782456140351,0.89,1.08536585366,3.45,1.04545454545,13.62,1.13879598662,20.45,1.13548028873,46.25,1.37607854805,31.32,1.19541984733,100.0,233.715,1.27856341804,1.0,6.13,0.934451219512,5.793,0.946104850563,3.79,1.39338235294,26.37,1.00918484501,100.0,1.0,30.77,1.04093369418,27.75,1.0138838144,58.91,100.0,1.0,1.13528618231,41.09,0.85408438994,8.768,1.72496557151,,
AAWW,2.24,2.13333333333,3.95,1.0,6.73,1.1465076661,0.44,0.44,0.95652173913,0.95652173913,60.38,1.09166516001,47.36,0.881936685289,14.93,0.493553719008,-272.0,0.5,10.35,1.34241245136,,,1.19,0.952,,,32.68,1.09480737018,1.2,0.952380952381,,,-0.94,-0.18875502008,0.29,0.0682352941176,2.86,2.86,0.989619377163,0.989619377163,0.56,0.933333333333,,,9.42,-0.884507042254,101.0,-0.372693726937,13.83,-5.44488188976,5.53,-0.36695421367,52.64,52.6,1.13606911447,1.13693304536,1.4,0.853658536585,0.82,0.440860215054,,,,,,,,,,,1.26911526524,0.864597404072,40.7445452727,7.0,0.0654205607477,-7.72,1.60833333333,0.4,0.0674536256324,80.09,1.03555727954,,,373.0,1.3663003663,124.0,0.704545454545,6.78,6.8,0.69387755102,0.693251533742,20.94,1.36,0.43729903537,2.85,0.456730769231,10.15,1.0,0.31,1.19230769231,1.41295546559,28.78,1.86157826649,,,1.09,1.11224489796,,,11.17,0.914075286416,0.18,0.0659340659341,0.51,0.0653008962868,1.7,0.302491103203,100.0,1.823,1.01334074486,1.0,24.92,1.14838709677,25.0,1.0,3.89,0.838362068966,,,100.0,1.0,15.65,1.05886332882,13.16,1.11336717428,65.08,100.0,1.0,0.994650771817,34.92,1.01012438531,104.0,0.859504132231,,
AB,,,,,,,,,,,15.26,1.0,,,,,,,,,,,,,,,,,,,1.93,1.02116402116,,,1.89,1.01612903226,1.0,1.0,1.0,1.0,,,657.0,,1.92,1.09090909091,193.0,1.06629834254,1.02,1.02,,,,,,,,,,,,,,,,,,,,,1.05525700475,1.00425349538,21.8452765455,188.0,1.03867403315,,,,,,,657.0,,193.0,1.06629834254,,,,,,,,,,,,,,,,,,,100.0,1.02145045965,,,,,,,11.7,1.02272727273,11.7,1.02272727273,,,,,,,,,101.0,1.0306122449,,,11.44,1.03529411765,100.0,1.0,,,,,100.0,100.0,1.0,1.0,,,,,,
ABAX,2.7,0.957446808511,10.78,0.811136192626,7.77,2.29203539823,0.83,0.83,1.01219512195,1.01219512195,9.24,1.10394265233,46.21,0.958912637477,3.0,0.874635568513,-6.0,1.0,49.48,1.04542573421,149.13,0.963932518906,5.08,0.517838939857,123.11,1.11371449249,52.11,0.709655454174,,,0.4,,16.31,1.04752729608,1.2,1.90476190476,1.22,1.22,1.0990990991,1.0990990991,7.44,1.1358778626,1.0,0.0364564345607,1.32,1.21100917431,30.0,1.0,1.11,0.52358490566,14.97,0.807879114949,53.79,53.8,1.03861003861,1.03821656051,0.55,0.733333333333,,,13.45,2.96,0.89696969697,1.08205953339,,,,,,,0.670420064633,1.65405543542,62.4558315,27.0,1.92857142857,-0.62,-1.01639344262,13.49,1.63515151515,10.15,0.810702875399,2.32,0.106275767293,36.0,1.0,34.0,1.41666666667,16.93,16.9,1.12666666667,1.13244147157,,4.29,1.34482758621,11.3,1.07721639657,2.64,1.01930501931,3.08,2.96153846154,,26.1,0.891697984284,34.4,,3.93,0.503846153846,8.06,0.957244655582,7.0,1.40845070423,11.25,1.66174298375,13.2,1.72099087353,13.17,1.72382198953,100.0,203.0,1.25308641975,1.0,28.8,1.01265822785,23.0,1.0,,,37.04,1.04751131222,100.0,1.0,78.0,1.02321920504,15.34,1.97425997426,18.16,100.0,1.0,1.70837253057,81.84,0.9157435381,169.0,1.13422818792,,
