﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5OY7dtsvsRPHMUKhCnTRbq","The Best Day","George Strait","50 Number Ones","2","21","198840","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7v3BvPRQS4DcsDzYU0BiVd","Best of Intentions","Travis Tritt","Down The Road I Go","1","3","257399","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7pPSSx0hmERyM2LbGi0qzm","Buy Me A Rose","Kenny Rogers","A Love Song Collection","1","15","224533","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4kiJERiGVqZLFAWRm3xmch","Cowboy Take Me Away","Dixie Chicks","The Essential Dixie Chicks","2","2","287013","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7LimFGKop84KMDutqYaNIF","How Do You Like Me Now?!","Toby Keith","Toby Keith 35 Biggest Hits","1","16","205920","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:65B1tEOv5W294uCKbmEcFV","I Hope You Dance","Lee Ann Womack","I Hope You Dance","1","2","294533","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:16OFkCrdYH524sqvTPt6CT","It Must Be Love","Alan Jackson","34 Number Ones","1","29","171813","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4LlNoNZflek4hZyZigCxpW","Just Another Day In Paradise","Phil Vassar","Phil Vassar","1","2","233880","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:038jgLNIvp7QQNf5vILf5d","Kiss This","Aaron Tippin","People Like Us","1","1","173760","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:572R9OVMyWKBeg1hOMgSsW","The Little Girl (feat. Alison Krauss & Dan Tyminski)","John Michael Montgomery, Alison Krauss, Dan Tyminski","Brand New Me","1","8","232640","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:3Dv6AFR2TE5h8i9nUh6ntB","My Next Thirty Years","Tim McGraw","Number One Hits","1","6","218213","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:0TITWbP9cAwrMhOAVFPSSV","My Best Friend","Tim McGraw","Number One Hits","2","2","279640","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7B08k4LJvEiCgEq1cdcjqU","Smile","Lonestar","16 Biggest Hits","1","8","213160","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:7Mq2Qa43LYyTlXBDEN9sKC","That's The Way","Jo Dee Messina","Greatest Hits","1","8","202346","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4HHtqzri9jrmAGFyucxkLG","We Danced","Brad Paisley","Hits Alive","1","13","225680","spotify:user:sjwheat","2014-02-06T22:45:29Z"
"spotify:track:4NUXy4jNfq9K4IsfRqWZqF","What About Now","Lonestar","16 Biggest Hits","1","9","210000","spotify:user:sjwheat","2014-02-06T22:45:29Z"
