•ÈÀ•ÈÀSpotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:7JEUOWAaxawgtUoApClOkc,Coming Home - Seven Lions & Ricky Mears Festival Radio Mix,"Seven Lions, Mike Mains",Coming Home (Seven Lions & Ricky Mears Festival Radio Mix),1,1,219186,spotify:user:plopous,2016-07-08T15:55:21Z
spotify:track:4uXYtzIjJ2vJG8JrfWwkA1,Afterglow,"Codeko, Ashton Palmer",Afterglow,1,1,248437,spotify:user:plopous,2016-07-08T16:08:25Z
spotify:track:5dSFlPDHjAuYU1apyrRgqV,Good Grief - Don Diablo Remix,"Bastille, Don Diablo",Good Grief (Don Diablo Remix),1,1,239000,spotify:user:plopous,2016-07-08T16:53:06Z
spotify:track:5FbsV3XIKW9pBPbBff6htf,Hey - KIIDA Remix,"Fais, Afrojack, KIIDA",Hey (Remixes),1,4,296135,spotify:user:plopous,2016-07-11T13:41:28Z
spotify:track:6ywNLnm0a3t8Hom8AGKEhb,Follow The Light,"Arty, Andrew Bayer",Follow The Light,1,1,262501,spotify:user:plopous,2016-07-11T13:48:03Z
spotify:track:0vmMbRON26Z67hH3yzhMQ7,Me Tonight,"Jason Ross, Lauren Ray",Me Tonight,1,1,221906,spotify:user:plopous,2016-07-11T13:49:04Z
spotify:track:1pXeZQxOX64lmoZAle6hQ6,America - Young Bombs Remix,"XYLÌ÷, Young Bombs",America (The Remixes) EP,1,1,282187,spotify:user:plopous,2016-07-11T16:37:39Z
spotify:track:648JcXIBXOgO4Tz2cIj9vm,All Around,"Manse, Emily Harder",All Around,1,1,176250,spotify:user:plopous,2016-07-12T16:22:12Z
spotify:track:5ApQeOVbDaP1pFqIgS3quR,Anybody,"Fatum, Judah",Anybody,1,1,230625,spotify:user:plopous,2016-07-12T17:03:57Z
spotify:track:4B7MzvZKUKS8SQ3dalkadL,Never Looking Back,"Alex Sonata, Roxanne Emery",Never Looking Back,1,1,220846,spotify:user:plopous,2016-07-13T19:27:14Z
spotify:track:1c3sLEh7JOwZWm6lL67HyS,Rewind,Tritonal,Rewind,1,1,231468,spotify:user:plopous,2016-04-29T15:24:12Z
spotify:track:6FhjfR1FgwoCILGCAXHKJg,Space Sheep,"Oliver Heldens, Chocolate Puma",Space Sheep,1,1,260952,spotify:user:plopous,2016-05-04T18:54:53Z
spotify:track:6CBs1NjmKXPjt9kAAziRhG,Dark River,Sebastian Ingrosso,Dark River,1,1,192123,spotify:user:plopous,2016-05-06T14:07:09Z
spotify:track:4inKPmBZEsaliyrvuogyUx,What You're Waiting For,"Tiesto, Ummet Ozcan",What You're Waiting For,1,1,217500,spotify:user:plopous,2016-05-09T18:31:05Z
spotify:track:6fy2SxEFRlk1CIdlvKRP0m,Something Better,"Audien, Lady Antebellum",Something Better,1,1,212619,spotify:user:plopous,2015-07-17T02:28:51Z
spotify:track:5sj5gye9fsojnLDx6cskIJ,Imperium - Dillon Francis Remix,"Madeon, Dillon Francis",Pay No Mind (Remixes),1,4,213826,spotify:user:plopous,2015-08-28T18:13:16Z
spotify:track:3aFsREHejxN8RWTB3P2IJh,Run Away - Alexander Popov Radio Edit,"Cosmic Gate, Eric Lumiere, Alexander Popov",Run Away (Alexander Popov Remix),1,1,230875,spotify:user:plopous,2015-08-29T13:12:12Z
spotify:track:1fMb2GCIxe8RXiFgJsHjbH,Lionheart - Jenaux Radio Edit,"Marcus SchÌ¦ssow, The Royalties STHLM",Lionheart (Remixes),1,2,190476,spotify:user:plopous,2015-08-29T13:15:25Z
