ï»¿ï»¿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep,Adele,21,1,1,228293,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3CKCZ9pfwAfoMZlMncA1Nc,Set Fire to the Rain,Adele,21,1,5,241693,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4kflIGfjdZJW4ot2ioixTB,Someone Like You,Adele,21,1,11,285040,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0ENSn4fwAbCGeFGVUbXEU3,Hello,Adele,Hello,1,1,295493,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3LGxef3inmn5jMLGDz9lqw,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),1,1,223080,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1ARJhjuI6TNYZCxYygFQ4F,Right Now (Na Na Na),Akon,Freedom,1,1,240746,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1brwdYwjltrJo7WHpIvbYt,Faded,Alan Walker,Faded,1,1,212626,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6qOEjO2IUD7PjtpsXawq0d,Girl On Fire,Alicia Keys,Girl On Fire,1,1,224920,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3XyMPyuWwHcGMvXeJY6Qt0,Girl On Fire - Inferno Version,"Alicia Keys, Nicki Minaj",Girl On Fire,1,6,270720,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5k31cAfP8yymw8v0AYQIjr,Best Day Of My Life,American Authors,Best Day Of My Life,1,1,194000,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7vS3Y0IKjde7Xg85LWIEdP,Problem,"Ariana Grande, Iggy Azalea",My Everything (Deluxe),1,2,193920,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"Ariana Grande, The Weeknd",My Everything (Deluxe),1,9,236133,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,AronChupa,I'm an Albatraoz,1,1,166848,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,Stories,1,1,230613,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,Hey Brother,Avicii,TRUE,1,3,255093,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1rdreHH1v6kyrx2mFQvLR4,Here's to Never Growing Up,Avril Lavigne,Avril Lavigne,1,2,214320,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5zTzDqrEmseqL2G8ElgBu7,What the Hell,Avril Lavigne,Goodbye Lullaby,1,2,220626,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Avril Lavigne,Let Go,1,2,244506,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:59dLtGBS26x7kc0rHbaPrq,Nothin' On You (feat. Bruno Mars),"B.o.B, Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray (Explicit),1,2,268320,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,Run the World (Girls),Beyonce,4,1,11,236093,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,Beyonce,B'Day Deluxe Edition,1,2,227853,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5IVuqXILoxVWvWEPm82Jxr,Crazy In Love,Beyonce,Dangerously In Love,1,1,236133,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4WY3HyGXsWqjFRCVD6gnTe,Baby Boy,Beyonce,Dangerously In Love,1,3,244826,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyonce,I AM...SASHA FIERCE,2,1,193213,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1FKxKGONukVFXWVJxAKmlz,Sweet Dreams,Beyonce,I AM...SASHA FIERCE,2,4,208066,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5MeZ3VxmtSv1O8PcekvLTn,Boom Boom Pow,The Black Eyed Peas,The Beginning & The Best Of The E.N.D.,2,1,251426,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1wkcHasramB3g0cPOgos6l,Rock That Body,The Black Eyed Peas,The Beginning & The Best Of The E.N.D.,2,5,269253,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),1,1,211066,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,Blackout,1,1,251240,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2EvwLVrnYbCZEG6Kx5DCRy,Piece of Me,Britney Spears,Blackout,1,2,212106,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2TxLSV0AqZTYQQL9QCX0D4,My Prerogative,Britney Spears,Greatest Hits: My Prerogative,1,1,213893,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:717TY4sfgKQm4kFbYQIzgo,Toxic,Britney Spears,Greatest Hits: My Prerogative,1,2,198813,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,1,2,220733,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:22PMfvdz35fFKYnJyMn077,Marry You,Bruno Mars,Doo-Wops & Hooligans,1,6,230120,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,Unorthodox Jukebox,1,4,178560,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,Calvin Harris,18 Months,1,3,206413,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0385HqYimoTQaHZP17KwG1,We Found Love,"Calvin Harris, Rihanna",18 Months,1,4,215520,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:05SBRd4fXgn8FX7bf8BCAE,I Need Your Love,"Calvin Harris, Ellie Goulding",18 Months,1,8,234506,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,1,1,212640,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,Outside,"Calvin Harris, Ellie Goulding",Motion,1,6,227266,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,Motion,1,8,222533,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0azC730Exh71aQlOt9Zj3y,This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,1,1,222160,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3O09PoBmmhotSUxLZfcRP0,I Really Like You,Carly Rae Jepsen,I Really Like You,1,1,205066,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),1,3,193400,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1eOHw1k2AoluG4VyjBHLzX,Everytime We Touch,Cascada,Everytime We Touch,1,1,196466,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7iT98FhZ7BAE8xdCxBlw55,Take Me Home (feat. Bebe Rexha),"Cash Cash, Bebe Rexha",Take Me Home (feat. Bebe Rexha),1,1,206320,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5kK1Iru9ogP3Iy1zsANU1n,The Power of Love,CÃ©line Dion,The Colour Of My Love,1,1,342400,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",Closer,1,1,244960,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,1,1,208373,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,Roses,"The Chainsmokers, ROZES",Roses,1,1,226738,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3kZoay4ANo86ehb6s4RwS9,Ridin',"Chamillionaire, Krayzie Bone",The Sound of Revenge,1,4,302000,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",Some Type Of Love,1,2,190453,spotify:user:androike90,2016-09-12T14:54:48Z
