Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:1KLtkmQnN9pMgP6T4FdWk5,Area Codes,"Ludacris, Nate Dogg",Word Of Mouf,1,7,303026,,
spotify:track:0WKYRFtH6KKbaNWjsxqm70,Gin And Juice (feat. Dat Nigga Daz),"Snoop Dogg, Daz Dillinger",Doggystyle,1,3,211493,,
spotify:track:5XhkV07Vou38wnrzwURUOC,Who Am I (What's My Name)?,Snoop Dogg,Doggystyle,1,8,246320,,
spotify:track:5VRxcsBgrwQj4naQHU2kM6,Westside Story,"The Game, 50 Cent",The Documentary,1,2,223066,,
spotify:track:6Cr4GuonfqCCFIqSSOGTBG,Trouble On My Mind,"Pusha T, Tyler, The Creator","Trouble On My Mind (feat. Tyler, The Creator)",1,1,213440,,
spotify:track:7LVB46xzkBa1E7r6sBv487,Straight Outta Compton - Edited,N.W.A.,Straight Outta Compton: 20th Anniversary,1,1,243333,,
spotify:track:3yDQCV4v257L3R8iaS9GGb,Chin Check - Edited,N.W.A.,The Best Of N.W.A: The Strength Of Street Knowledge (Edited),1,16,218174,,
spotify:track:4fxOCTCTQtsrbK6y1K9JH4,Fuck Tha Police - 2006 Digital Remaster,N.W.A.,N.W.A. And Their Family Reunion,1,4,314630,,
spotify:track:4mSp2FCzwGUN58aurJawQq,Boyz-N-The-Hood,Eazy-E,N.W.A. And Their Family Reunion,1,2,337014,,
spotify:track:1uPbVfpCkHbYWqcHSfG2Fs,Niggaz 4 Life,N.W.A.,EFIL4ZAGGIN,1,3,298906,,
spotify:track:1wQQ4ntGjQLCo2SzObCKNm,100 Miles And Runnin',N.W.A.,N.W.A. Greatest Hits (World),1,17,275626,,
spotify:track:2AsUIjkkqwLnv5vkiwkvsT,Natural Born Killaz,Ice Cube,Featuring...Ice Cube(Domestic Only) [Explicit],1,2,289226,,
spotify:track:6JI5wNWYdBw68GZjOMmgK5,Put It On,Big L,Lifestylez Ov Da Poor & Dangerous,1,1,217626,,
spotify:track:6ltPEsP4edATzvinHOzvk2,Still D.R.E.,"Dr. Dre, Snoop Dogg",2001 (Explicit Version),1,4,268004,,
spotify:track:20LxTsa6936zOlzTWqoPVt,The Next Episode,"Dr. Dre, Snoop Dogg",2001 (Explicit Version),1,11,161600,,
spotify:track:5xnlS0W8johsDj5aqWS6rZ,Nuthin but a G'Thang (feat. Dr. Dre),"Snoop Dogg, Dr. Dre","Me & My Homies, Vol. 1",1,9,236186,,
spotify:track:2Dts49OexROL2KvCK2sokf,What's The Difference,"Dr. Dre, Eminem, Xzibit",2001 (Explicit Version),1,7,244266,,
spotify:track:0Zh5U48tZNeAzzLTV1CVBE,Forgot About Dre,"Dr. Dre, Eminem",2001 (Explicit Version),1,10,222240,,
spotify:track:0X4TIvfc0ZxvOeohACNMfc,Some L.A. Niggaz,"Dr. Dre, Hittman, Ms. Roq, Knoc-Turn'al, Time Bomb, Koka Kambon, Defari, MC Ren, Xzibit",2001 (Explicit Version),1,17,265173,,
spotify:track:33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",Mobb Deep,The Infamous,1,15,325506,,
spotify:track:1kGym2WjakbSK54A7mjzfi,Keep It Gangsta,Coolio,The Return of the Gangsta (Original Motion Picture Soundtrack),1,15,252320,,
spotify:track:5HUOEQrW3ChMxPU7HfzKIv,C U When U Get There - feat. 40 thevz,Coolio,Rhino Hi-Five: Coolio,1,2,310800,,
spotify:track:2cGJoju7i7CsAPBMNx33cP,Fantastic Voyage,Coolio,Rhino Hi-Five: Coolio,1,1,334440,,
spotify:track:2b7FqlHc3JrzlYtGEkzq22,Juicy,The Notorious B.I.G.,Greatest Hits (Explicit Version),1,1,301466,,
spotify:track:63BcfK6YAzJYeISaTPr6IO,Big Poppa,The Notorious B.I.G.,Greatest Hits (Explicit Version),1,2,249866,,
spotify:track:4xtq6uY0ofikksLWN37pT4,Ten Crack Commandments,The Notorious B.I.G.,Greatest Hits (Explicit Version),1,9,203946,,
spotify:track:7v9ZvWnay79kmn5ovk2NUZ,Notorious Thugs - Featuring Bone Thugs and Harmony Explicit Album Version,The Notorious B.I.G.,Greatest Hits,1,10,367226,,
spotify:track:6s4kWgzQwsueo3mfllY1s6,Dead Wrong (feat. Eminem),"The Notorious B.I.G., Eminem",Born Again,1,3,297426,,
spotify:track:6BZ1RIlx69N02aKMTFJ0rS,Sky's The Limit (feat. 112),"The Notorious B.I.G., 112",Life After Death,1,11,277266,,
spotify:track:1YQ7BbJR8HqAolfprvxGKu,Notorious B.I.G. (feat. Lil' Kim & Puff Daddy),"The Notorious B.I.G., Lil' Kim, Diddy",Born Again,1,2,191600,,
spotify:track:7crrp07AQujRvbOoIGitk8,"Dangerous MC's (feat. Mark Curry, Snoop Dogg & Busta Rhymes)","The Notorious B.I.G., Mark Curry, Snoop Dogg, Busta Rhymes",Born Again,1,5,315020,,
spotify:track:3ssX20QT5c3nA9wk78V1LQ,Ambitionz Az A Ridah,2Pac,All Eyez On Me,1,1,278386,,
spotify:track:1wCcCCocowxdDF0igFaFgh,Skandalouz,2Pac,All Eyez On Me,1,3,248693,,
spotify:track:1eduDdsjMO7Or4EXnMf2iS,How Do You Want It,2Pac,All Eyez On Me,1,5,287546,,
spotify:track:5Ddu4AaN1VaZ1MTg1neCl7,2 Of Amerikaz Most Wanted,2Pac,All Eyez On Me,1,6,246533,,
spotify:track:2bUojZta7GJTjGAqo064jo,Life Goes On,2Pac,All Eyez On Me,1,9,301600,,
spotify:track:13XHuE00ElL5thSxkaEXxK,Only God Can Judge Me,2Pac,All Eyez On Me,1,10,296906,,
spotify:track:0uvnwBGPHODpAvu3wwcNaV,Tradin War Stories,2Pac,All Eyez On Me,1,11,329826,,
spotify:track:4L1aB9H3HGsVstHlOM6Yz6,Shorty Wanna Be A Thug,2Pac,All Eyez On Me,2,2,231653,,
spotify:track:1aBXNJsLuOeo6ZIeNRkbRc,Holla At Me,2Pac,All Eyez On Me,2,3,295413,,
spotify:track:37zQVgP3aTLKNvluXLB5Ii,Picture Me Rollin',2Pac,All Eyez On Me,2,7,314720,,
spotify:track:2xTft6GEZeTyWNpdX94rkf,All Eyez On Me,2Pac,All Eyez On Me,2,10,307773,,
spotify:track:3cFe9hcxMmjsl0kENZs9gD,Run Tha Streetz,2Pac,All Eyez On Me,2,11,316400,,
spotify:track:2rR5Sk3hYrw5kRURheLtjz,Wanted Dead Or Alive (feat. Snoop Doggy Dogg),2Pac,Pac Um In - [The Dave Cash Collection],1,1,277426,,
spotify:track:24pMJghNT9hpgFRCjyVEhG,California Love,2Pac,Ride or Die,1,1,348000,,
spotify:track:16LnNR25rqcvQVNv5UEQ7g,X,Xzibit,The Greatest,1,9,255546,,
spotify:track:4oQwJcNCqQQKiefoqB4Xvs,Hey Now - Mean Muggin - Xplicit Album Version,"Xzibit, Keri Hilson",The Greatest,1,13,259720,,
spotify:track:6dgT6v7UQCXEQ55ZpMwT2h,Front 2 Back,Xzibit,Restless,1,2,182466,,
spotify:track:65iyI1iybyv5ecsfBHSdUf,Gangsta Nation,Westside Connection,Terrorist Threats,1,4,293053,,
spotify:local:Ice+Cube:I+AM+THE+WEST:Ice+Cube+-+Life+In+California+feat+Jayo+Felony%2C+WC+%26+Young+Maylay+2010:243,"Ice Cube - Life In California feat Jayo Felony, WC & Young Maylay 2010",Ice Cube,I AM THE WEST,0,0,243000,,
