Tickers,Name,GICS Sector,HQ Location
MMM,3M,Conglomerate,
AXP,American Express,Consumer finance,
AAPL,Apple,Consumer electronics,
BA,Boeing,Aerospace and defense,
CAT,Caterpillar,Construction and mining equipment,
CVX,Chevron,Oil & gas,
CSCO,Cisco,Computer networking,
KO,Coca-Cola,Beverages,
DD,Du Pont,Chemical industry,
XOM,ExxonMobil,Oil & gas,
GE,General Electric,Conglomerate,
GS,Goldman Sachs,"Banking, Financial services",
HD,Home Depot,Home improvement retailer,
IBM,IBM,Computers and technology,
INTC,Intel,Semiconductors,
JNJ,Johnson & Johnson,Pharmaceuticals,
JPM,JPMorgan Chase,Banking,
MCD,McDonald's,Fast food,
MRK,Merck,Pharmaceuticals,
MSFT,Microsoft,Software,
NKE,Nike,Apparel,
PFE,Pfizer,Pharmaceuticals,
PG,Procter & Gamble,Consumer goods,
TRV,Travelers,Insurance,
UNH,UnitedHealth Group,Managed health care,
UTX,United Technologies,Conglomerate,
VZ,Verizon,Telecommunication,
V,Visa,Consumer banking,
WMT,Wal-Mart,Retail,
DIS,Walt Disney,Broadcasting and entertainment,
