Tickers,Name,GICS Sector,HQ Location
ACN,Accenture plc,IT Consulting & Other Services,"Dublin, Ireland"
ATVI,Activision Blizzard,Home Entertainment Software,"Santa Monica, California"
ADBE,Adobe Systems Inc,Application Software,"San Jose, California"
AKAM,Akamai Technologies Inc,Internet Software & Services,"Cambridge, Massachusetts"
ADS,Alliance Data Systems,Data Processing & Outsourced Services,"Plano, Texas"
GOOGL,Alphabet Inc Class A,Internet Software & Services,"Mountain View, California"
GOOG,Alphabet Inc Class C,Internet Software & Services,"Mountain View, California"
ADI,"Analog Devices, Inc.",Semiconductors,"Norwood, Massachusetts"
AAPL,Apple Inc.,Computer Hardware,"Cupertino, California"
AMAT,Applied Materials Inc,Semiconductor Equipment,"Santa Clara, California"
ADSK,Autodesk Inc,Application Software,"San Rafael, California"
ADP,Automatic Data Processing,Internet Software & Services,"Roseland, New Jersey"
AVGO,Avago Technologies,Semiconductors,"San Jose, California"
CA,"CA, Inc.",Systems Software,"Islandia, New York"
CSCO,Cisco Systems,Networking Equipment,"San Jose, California"
CTXS,Citrix Systems,Internet Software & Services,"Fort Lauderdale, Florida"
CTSH,Cognizant Technology Solutions,IT Consulting & Services,"Teaneck, New Jersey"
CSRA,CSRA Inc.,IT Consulting & Services,"Falls Church, Virginia"
EBAY,eBay Inc.,Internet Software & Services,"San Jose, California"
EA,Electronic Arts,Home Entertainment Software,"Redwood City, California"
EMC,EMC Corp.,IT Consulting & Services,"Hopkinton, Massachusetts"
EQIX,Equinix,Internet Software & Services,"Redwood City, California"
FFIV,F5 Networks,Networking Equipment,"Seattle, Washington"
FB,Facebook,Internet Software & Services,"Menlo Park, California"
FIS,Fidelity National Information Services,Internet Software & Services,"Jacksonville, Florida"
FSLR,First Solar Inc,Semiconductors,"Tempe, Arizona"
FISV,Fiserv Inc,Internet Software & Services,"Brookfield, Wisconsin"
GPN,Global Payments Inc,Data Processing & Outsourced Services,"Atlanta, Georgia"
HRS,Harris Corporation,Telecommunications Equipment,"Melbourne, Florida"
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HPQ,HP Inc.,Computer Hardware,"Palo Alto, California"
INTC,Intel Corp.,Semiconductors,"Santa Clara, California"
IBM,International Bus. Machines,IT Consulting & Services,"Armonk, New York"
INTU,Intuit Inc.,Internet Software & Services,"Mountain View, California"
JNPR,Juniper Networks,Networking Equipment,"Sunnyvale, California"
KLAC,KLA-Tencor Corp.,Semiconductor Equipment,"Milpitas, California"
LRCX,Lam Research,Semiconductor Equipment,"Fremont, California"
LLTC,Linear Technology Corp.,Semiconductors,"Milpitas, California"
MA,Mastercard Inc.,Internet Software & Services,"Harrison, New York"
MCHP,Microchip Technology,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Semiconductors,"Boise, Idaho"
MSFT,Microsoft Corp.,Systems Software,"Redmond, Washington"
MSI,Motorola Solutions Inc.,Telecommunications Equipment,"Schaumburg, Illinois"
NTAP,NetApp,Internet Software & Services,"Sunnyvale, California"
NFLX,Netflix Inc.,Internet Software & Services,"Los Gatos, California"
NVDA,Nvidia Corporation,Semiconductors,"Santa Clara, California"
ORCL,Oracle Corp.,Application Software,"Redwood Shores, California"
PAYX,Paychex Inc.,Internet Software & Services,"Penfield, New York"
PYPL,PayPal,Data Processing & Outsourced Services,"San Jose, California"
QRVO,Qorvo,Semiconductors,"Hillsboro, Oregon"
QCOM,QUALCOMM Inc.,Semiconductors,"San Diego, California"
RHT,Red Hat Inc.,Systems Software,"Raleigh, North Carolina"
CRM,Salesforce.com,Internet Software & Services,"San Francisco, California"
SNDK,SanDisk Corporation,Computer Storage & Peripherals,"Milpitas, California"
STX,Seagate Technology,Computer Storage & Peripherals,"Dublin, Ireland"
SWKS,Skyworks Solutions,Semiconductors,"Woburn, Massachusetts"
SYMC,Symantec Corp.,Application Software,"Mountain View, California"
TEL,TE Connectivity Ltd.,Electronic Equipment & Instruments,"Schaffhausen, Switzerland"
TDC,Teradata Corp.,Application Software,"Miamisburg, Ohio"
TXN,Texas Instruments,Semiconductors,"Dallas, Texas"
TSS,Total System Services,Internet Software & Services,"Columbus, Georgia"
VRSN,Verisign Inc.,Internet Software & Services,"Dulles, Virginia"
V,Visa Inc.,Internet Software & Services,"San Francisco, California"
WDC,Western Digital,Computer Storage & Peripherals,"Irvine, California"
WU,Western Union Co,Internet Software & Services,"Englewood, Colorado"
XRX,Xerox Corp.,IT Consulting & Services,"Norwalk, Connecticut"
XLNX,Xilinx Inc,Semiconductors,"San Jose, California"
YHOO,Yahoo Inc.,Internet Software & Services,"Sunnyvale, California"
